Week,Enforcement,Landings
1,5.166666667,493
2,28.5,1258
3,55.16666667,977
4,20.66666667,1101
5,13.5,862
6,22.16666667,1134
7,32.33333333,1388
8,23,1031
9,28.83333333,1137
10,49.83333333,1323
11,45.16666667,1320
12,57.66666667,2731
13,57.5,4254
14,31.16666667,1544
15,102.8333333,2964
16,43.66666667,2117
17,48.16666667,1022
18,26.33333333,927
19,14.5,657
20,21.33333333,851
21,35.83333333,1675
22,59,1072
23,33.83333333,1098
24,34.16666667,1522
25,53.83333333,812
26,39,1264
27,22.16666667,870
28,26.16666667,1173
29,28.33333333,1504
30,39.83333333,1486
31,30.16666667,1639
32,33.16666667,2060
33,54,2030
34,45.83333333,3099
35,80.16666667,4517
36,96.5,2091
37,111.3333333,4314
38,74.5,2647
39,133.5,2590
40,28.66666667,2316
41,40.33333333,1760
42,77,1549
43,76.33333333,2336
44,49.66666667,3071
45,34.33333333,2896
46,46.16666667,2868
47,31,3532
48,22.5,5350
49,0.333333333,2425
