AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
2015,1,15,4,ARICA,254,Palometa,1500000,,0.7,B,BN,CHD
2015,1,15,4,ARICA,820,Piure,1000000,,0.05,B,BN,CHD
2015,1,15,4,ARICA,254,Palometa,1500000,,0.1,B,BN,CHD
2015,1,15,4,ARICA,820,Piure,1000000,,0.07,B,BN,CHD
2015,1,15,4,ARICA,406,Almeja,1000000,,0.03,B,BN,CHD
2015,1,15,4,ARICA,238,Lisa,1500000,,0.02,B,BN,CHD
2015,1,1,8,RIQUELME,231,Dorado,1800000,,0.4,L,BN,CHD
2015,1,1,8,RIQUELME,260,Pejerrey de mar,1000000,,0.12,B,BN,CHD
2015,1,2,46,TOCOPILLA,284,Tiburón o marrajo,1300000,,1.5,L,BN,CHD
2015,1,2,46,TOCOPILLA,211,Azulejo,500000,,1,L,BN,CHD
2015,1,2,46,TOCOPILLA,142,Huiro palo,240000,30,2,O,BN,PP
2015,1,2,46,TOCOPILLA,141,Huiro negro,160000,30,3,O,BN,PP
2015,1,2,60,MEJILLONES,141,Huiro negro,200000,30,5,O,BN,PP
2015,1,2,60,MEJILLONES,141,Huiro negro,200000,30,4.08,O,BN,PP
2015,1,2,60,MEJILLONES,142,Huiro palo,230000,30,4.23,O,BN,PP
2015,1,2,60,MEJILLONES,415,Caracol locate,2000000,,0.758,O,BN,PP
2015,1,2,56,TALTAL,141,Huiro negro,150000,30,3,O,BN,PP
2015,1,2,56,TALTAL,451,Lapa negra,500000,,0.025,O,BN,PP
2015,1,2,56,TALTAL,236,Lenguado,3500000,,0.02,B,BN,CHD
2015,1,2,56,TALTAL,252,Vieja o mulata,3000000,,0.07,B,BN,CHD
2015,1,2,56,TALTAL,262,Pejeperro,2500000,,0.018,B,BN,CHD
2015,1,2,56,TALTAL,207,Apañado,2500000,,0.02,B,BN,CHD
2015,1,2,56,TALTAL,141,Huiro negro,130000,30,2,O,BN,PP
2015,1,2,56,TALTAL,142,Huiro palo,180000,30,0.3,O,BN,PP
2015,1,2,56,TALTAL,451,Lapa negra,500000,,0.019,O,BN,PP
2015,1,2,56,TALTAL,227,Congrio colorado,3000000,,0.04,B,BN,CHD
2015,1,2,56,TALTAL,226,Cojinoba del norte,2000000,,0.05,B,BN,CHD
2015,1,2,56,TALTAL,220,Cabrilla,1800000,,0.008,B,BN,CHD
2015,1,2,56,TALTAL,231,Dorado,2500000,,0.03,B,BN,CHD
2015,1,2,50,ANTOFAGASTA,141,Huiro negro,200000,30,1,O,BN,PP
2015,1,2,50,ANTOFAGASTA,142,Huiro palo,200000,30,0.5,O,BN,PP
2015,1,2,50,ANTOFAGASTA,451,Lapa negra,1000000,,0.001,O,BN,CHD
2015,1,2,50,ANTOFAGASTA,406,Almeja,1000000,,0.001,O,BN,CHD
2015,1,2,50,ANTOFAGASTA,214,Bonito,1000000,,0.003,B,BN,CHD
2015,1,2,50,ANTOFAGASTA,280,Sargo,5000000,,0.006,B,BN,CHD
2015,1,2,50,ANTOFAGASTA,234,Jurel,3000000,,0.01,B,BN,CHD
2015,1,2,50,ANTOFAGASTA,227,Congrio colorado,4500000,,0.006,B,BN,CHD
2015,1,2,50,ANTOFAGASTA,231,Dorado,4500000,,0.005,B,BN,CHD
2015,1,2,50,ANTOFAGASTA,226,Cojinoba del norte,1000000,,0.005,B,BN,CHD
