"","2019","2018","2017","2016","2015","2014","mean","mean_p_std","mean_m_std"
"1",395,114,373,327,453,1294,493,0,0
"2",558,1109,1116,1348,380,3036,1258,0,0
"3",1003,1120,977,1029,159,1572,977,0,0
"4",698,1452,567,1203,152,2536,1101,0,0
"5",426,300,1176,1090,256,1927,862,0,0
"6",1605,506,922,1305,484,1982,1134,0,0
"7",2221,1561,1057,1788,390,1308,1388,0,0
"8",1365,640,775,1061,528,1819,1031,0,0
"9",1144,1043,1013,1823,355,1446,1137,0,0
"10",1345,1723,1701,1680,751,739,1323,0,0
"11",494,832,1276,1753,1780,1782,1320,0,0
"12",1081,1885,1218,8880,1288,2036,2731,0,0
"13",894,12801,928,21,8305,2576,4254,0,0
"14",1371,272,2208,891,2149,2375,1544,0,0
"15",1486,851,7475,1392,601,5979,2964,0,0
"16",7638,1071,3,697,572,2720,2117,0,0
"17",910,759,1665,1066,832,897,1022,0,0
"18",1712,753,594,622,973,906,927,0,0
"19",417,858,834,877,312,643,657,0,0
"20",1338,1151,301,803,521,992,851,0,0
"21",3597,1326,2057,733,1003,1334,1675,0,0
"22",886,917,334,1522,2190,583,1072,0,0
"23",1080,1041,1346,761,1728,632,1098,0,0
"24",2593,651,662,2293,1564,1372,1522,0,0
"25",303,887,687,1056,135,1805,812,0,0
"26",1706,920,2112,985,909,953,1264,0,0
"27",1832,0,0,2348,412,630,870,0,0
"28",1194,2173,1259,413,659,1341,1173,0,0
"29",1326,1309,3011,2030,615,735,1504,0,0
"30",2811,1809,449,2081,790,976,1486,0,0
"31",2242,1111,2550,1178,1927,824,1639,0,0
"32",3254,3848,1046,1776,981,1458,2060,0,0
"33",2149,2249,1826,1809,3023,1123,2030,0,0
"34",1391,3464,2300,4371,2391,4675,3099,0,0
"35",2733,6426,4616,5553,4673,3102,4517,0,0
"36",6328,3836,2379,1,1,1,2091,0,0
"37",4146,2035,3764,3171,6313,6457,4314,0,0
"38",4581,2847,1858,2017,2099,2482,2647,0,0
"39",2363,2295,3941,1724,2484,2734,2590,0,0
"40",2036,2135,3474,514,2688,3050,2316,0,0
"41",678,2634,3133,502,2201,1414,1760,0,0
"42",1000,2593,2120,309,2225,1048,1549,0,0
"43",1403,3262,5367,598,2220,1167,2336,0,0
"44",4302,3985,2502,3012,3420,1207,3071,0,0
"45",3156,3438,4372,1419,4415,579,2896,0,0
"46",3130,3751,3187,2968,4029,145,2868,0,0
"47",4827,4071,2973,3537,5103,683,3532,0,0
"48",7636,4200,10322,4140,5142,657,5350,0,0
"49",831,458,NA,5574,4062,1199,2425,0,0
