19Z,19C,18Z,18C,17Z,17C,16Z,16C,15Z,15C,14Z,14C
01/09/2019,1,04/07/2017,0,04/07/2017,0,03/09/2016,1,03/09/2015,0.027,04/09/2014,0.027
12/04/2019,11,02/09/2018,1,02/09/2017,1,21/12/2016,10,10/07/2015,0.081,14/11/2014,0.216
20/12/2019,10,21/12/2018,15,30/08/2017,5,30/08/2016,2,10/07/2015,0.135,11/11/2014,0.041
16/04/2019,25,28/08/2018,10,26/08/2017,3,21/12/2016,45,10/07/2015,0.054,26/12/2014,0.27
28/08/2019,5,30/08/2018,6,31/08/2017,2,30/08/2016,20,01/07/2015,0.189,30/12/2014,0.459
22/11/2019,7,21/12/2018,10,28/12/2017,10,02/06/2016,6,01/07/2015,0.243,26/12/2014,0.189
28/01/2019,8,28/12/2018,10,13/12/2017,18,23/12/2016,20,24/07/2015,0.135,20/10/2014,1.485
26/12/2019,70,10/01/2018,2,28/08/2017,3,29/12/2016,30,10/07/2015,0.135,01/10/2014,0.216
28/08/2019,15,26/12/2018,30,30/08/2017,2,21/07/2016,1,10/07/2015,0.081,03/10/2014,0.243
27/12/2019,70,12/12/2018,11,30/08/2017,5,30/08/2016,11,01/07/2015,0.135,17/12/2014,0.054
11/11/2019,1,26/03/2018,18,28/12/2017,6,04/10/2016,2,10/07/2015,0.108,25/08/2014,0.15
26/08/2019,7,19/03/2018,20,09/11/2017,2,21/04/2016,6,15/05/2015,0.108,14/04/2014,1.2
16/08/2019,15,30/08/2018,16,30/08/2017,10,21/04/2016,4,01/07/2015,0.054,16/04/2014,0.8
03/07/2019,2,28/08/2018,5,31/08/2017,4,18/11/2016,13,29/07/2015,0.135,07/04/2014,0.21
27/12/2019,40,30/08/2018,10,23/10/2017,2,22/08/2016,17,21/08/2015,1.3,11/04/2014,0.81
06/12/2019,20,29/08/2018,2,29/08/2017,5,07/10/2016,10,21/08/2015,1.3,14/04/2014,0.513
18/10/2019,7,28/11/2018,10,31/08/2017,2,04/07/2016,20,01/04/2015,0.189,15/04/2014,0.432
26/08/2019,30,08/03/2018,5,22/11/2017,10,22/04/2016,20,31/08/2015,0.054,30/04/2014,0.054
08/07/2019,2,21/08/2018,3,11/01/2017,1,29/08/2016,10,01/04/2015,0.729,16/04/2014,0.405
01/07/2019,4,30/08/2018,20,03/11/2017,15,21/10/2016,7,24/08/2015,0.405,02/06/2014,0.07
27/05/2019,5,30/08/2018,25,10/04/2017,15,13/06/2016,10,31/08/2015,0.54,11/08/2014,0.27
28/08/2019,3,30/08/2018,17,24/03/2017,7,21/11/2016,5,01/04/2015,0.108,08/08/2014,0.1
09/08/2019,5,31/08/2018,8,07/04/2017,13,24/08/2016,5,23/03/2015,0.12,08/08/2014,0.08
01/03/2019,10,31/08/2018,15,21/08/2017,36,12/08/2016,4,16/03/2015,0.3,20/06/2014,0.2
05/07/2019,10,29/08/2018,5,10/04/2017,6,29/06/2016,5,16/03/2015,0.06,02/06/2014,0.5
28/08/2019,3,22/12/2018,6,13/04/2017,5,26/08/2016,10,23/03/2015,0.2,04/04/2014,0.3
10/04/2019,1,29/03/2018,5,26/01/2017,5,07/11/2016,1,11/03/2015,0.054,13/01/2014,0.3
14/03/2019,1,01/08/2018,17,11/01/2017,4,21/10/2016,5,11/03/2015,0.08,13/01/2014,0.09
02/04/2019,2,30/08/2018,15,20/01/2017,5,16/12/2016,10,11/03/2015,0.07,14/04/2014,0.12
28/08/2019,1,20/08/2018,8,26/01/2017,8,10/06/2016,10,23/03/2015,0.18,30/04/2014,0.5
10/10/2019,2,28/12/2018,5,20/02/2017,5,15/06/2016,15,16/03/2015,0.05,05/02/2014,0.45
02/05/2019,5,16/10/2018,7,24/02/2017,10,01/07/2016,20,11/03/2015,0.216,25/08/2014,0.19
29/03/2019,2,05/10/2018,10,04/12/2017,3,20/07/2016,10,11/03/2015,0.1,20/01/2014,1
11/03/2019,1,28/03/2018,20,19/12/2017,14,03/10/2016,15,16/03/2015,0.05,07/04/2014,0.35
13/03/2019,2,26/03/2018,30,09/11/2017,2,03/10/2016,10,11/03/2015,0.243,13/01/2014,0.5
28/01/2019,4,19/03/2018,10,17/08/2017,3,06/10/2016,10,16/03/2015,0.108,17/01/2014,0.3
31/01/2019,2,01/10/2018,15,18/08/2017,5,19/10/2016,10,11/03/2015,0.216,13/08/2014,0.3
13/12/2019,13,26/03/2018,70,08/11/2017,2,10/08/2016,10,16/03/2015,0.162,26/05/2014,0.15
18/12/2019,8,13/04/2018,20,16/03/2017,13,19/08/2016,10,16/03/2015,0.297,04/04/2014,0.3
19/04/2019,3,26/03/2018,30,09/11/2017,1,25/07/2016,10,11/03/2015,0.189,28/04/2014,0.6
22/05/2019,2,24/01/2018,12,23/11/2017,14,27/07/2016,15,11/03/2015,0.08,17/02/2014,0.45
30/12/2019,50,17/01/2018,8,19/12/2017,20,01/08/2016,10,11/03/2015,0.216,11/04/2014,0.675
28/08/2019,2,01/10/2018,10,26/12/2017,5,03/08/2016,15,11/03/2015,0.135,15/10/2014,0.508
26/08/2019,4,08/08/2018,4,27/12/2017,15,05/08/2016,15,16/03/2015,0.27,13/08/2014,0.2
09/07/2019,10,20/08/2018,10,06/11/2017,12,08/06/2016,5,16/03/2015,0.486,25/08/2014,0.3
28/08/2019,13,28/08/2018,4,14/11/2017,7,19/12/2016,15,23/03/2015,0.243,16/04/2014,1.1
11/06/2019,20,29/08/2018,8,02/10/2017,9,02/12/2016,5,16/03/2015,0.12,30/04/2014,0.54
07/05/2019,20,18/05/2018,20,11/10/2017,12,22/04/2016,4,16/03/2015,0.27,26/05/2014,0.195
20/11/2019,1,30/08/2018,6,03/11/2017,12,04/11/2016,10,11/03/2015,0.216,04/04/2014,0.3
18/12/2019,1,26/03/2018,32,06/12/2017,12,21/06/2016,10,23/03/2015,0.3,01/10/2014,0.2
30/10/2019,3,13/04/2018,3,27/12/2017,15,29/06/2016,10,11/03/2015,0.351,03/10/2014,0.3
24/10/2019,1,19/03/2018,5,13/04/2017,18,30/08/2016,7,11/03/2015,0.216,13/01/2014,0.3
27/12/2019,15,17/01/2018,7,24/03/2017,2,24/10/2016,5,16/03/2015,0.05,29/01/2014,3
25/01/2019,5,24/01/2018,10,29/03/2017,4,11/10/2016,3,16/03/2015,0.06,20/10/2014,1.35
28/01/2019,10,28/12/2018,5,07/04/2017,8,02/12/2016,5,23/03/2015,0.15,03/10/2014,0.25
28/01/2019,5,12/12/2018,36,27/02/2017,5,09/12/2016,5,11/03/2015,0.189,20/10/2014,1.485
11/10/2019,15,14/12/2018,16,06/03/2017,3,16/12/2016,3,16/03/2015,0.27,20/10/2014,1.08
15/01/2019,5,19/12/2018,15,10/03/2017,6,21/11/2016,5,11/03/2015,0.216,03/10/2014,0.27
18/01/2019,4,21/11/2018,5,15/03/2017,6,07/11/2016,4,27/03/2015,0.135,01/10/2014,0.162
23/07/2019,7,27/11/2018,16,22/03/2017,5,15/11/2016,4,31/08/2015,0.27,03/10/2014,0.27
